source,target_candidate,tk_path_value,source_address,source_product,source_est_date,source_capital,source_bank,source_shareholder,source_firm_title,tk_address,tk_product,tk_est_date,tk_capital,tk_bank,tk_shareholder,tk_truth,tk_firm_title,pr_natural_text,tk_natural_text
/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/record_linkage_clean_dataset/pr_title_crop_6725/1000.png,matched_tk_path_0,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/japan_end_to_end_pipeline/tk-digitization-pipeline/tk1957_correct_order/title_images_v2/tk1957_0239_5_15_0_49030.png,東京都台東区仲御徒町312電下谷(83)3200・3300,金融業及電話不動產賣買,昭和23年1月,350万円,富士(神田),"島秀太郞18,000敬30,000五",勝巳,秋田市上迪町九,菓子製造販賈,昭机廿八年四月,百萬圓二千株〇,,,0,勝月,勝巳は、昭和23年1月に設立された歴史ある日本の企業です。同社は金融業及電話不動產賣買を提供しています。この会社の資本金は約350万円です。この会社の取引銀行には、富士(神田)が含まれています。さらに、この会社は東京都台東区仲御徒町312電下谷(83)3200・3300にあります。,勝月は、昭机廿八年四月に設立された日本の企業です。この会社は秋田市上迪町九にあります。
/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/record_linkage_clean_dataset/pr_title_crop_6725/1000.png,matched_tk_path_1,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/japan_end_to_end_pipeline/tk-digitization-pipeline/tk1957_correct_order/title_images_v2/tk1957_0032_5_11_0_3020.png,東京都台東区仲御徒町312電下谷(83)3200・3300,金融業及電話不動產賣買,昭和23年1月,350万円,富士(神田),"島秀太郞18,000敬30,000五",勝巳,"中央區日本橋小傳馬町	一一ノ一電六六局兕八匚四七五",裏地卸賣,昭和廿九年十二月,八十萬圓匚千六百株く,三和堀留レ,へ株主數九く戶田媵已,0,勝已商店,勝巳は、昭和23年1月に設立された歴史ある日本の企業です。同社は金融業及電話不動產賣買を提供しています。この会社の資本金は約350万円です。この会社の取引銀行には、富士(神田)が含まれています。さらに、この会社は東京都台東区仲御徒町312電下谷(83)3200・3300にあります。,"勝已商店は、昭和廿九年十二月に設立された歴史ある日本の企業です。同社は裏地卸賣を提供しています。この会社の資本金は約八十萬圓匚千六百株くです。この会社の取引銀行には、三和堀留レが含まれています。さらに、この会社は中央區日本橋小傳馬町	一一ノ一電六六局兕八匚四七五にあります。"
/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/record_linkage_clean_dataset/pr_title_crop_6725/1000.png,matched_tk_path_2,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/japan_end_to_end_pipeline/tk-digitization-pipeline/tk1957_correct_order/title_images_v2/tk1957_0122_2_14_2_21343.png,東京都台東区仲御徒町312電下谷(83)3200・3300,金融業及電話不動產賣買,昭和23年1月,350万円,富士(神田),"島秀太郞18,000敬30,000五",勝巳,"天王寺區媵山通三ノ二五	電七七局六九七三",和洋家具製造販賣,昭和廿八年四月,百萬圓二千株く,協和へ媵山三菱へ鶴橋く,へ株主數八く,0,勝ニ木ェ所,勝巳は、昭和23年1月に設立された歴史ある日本の企業です。同社は金融業及電話不動產賣買を提供しています。この会社の資本金は約350万円です。この会社の取引銀行には、富士(神田)が含まれています。さらに、この会社は東京都台東区仲御徒町312電下谷(83)3200・3300にあります。,"勝ニ木ェ所は、昭和廿八年四月に設立された歴史ある日本の企業です。同社は和洋家具製造販賣を提供しています。この会社の資本金は約百萬圓二千株くです。この会社の取引銀行には、協和へ媵山三菱へ鶴橋くが含まれています。さらに、この会社は天王寺區媵山通三ノ二五	電七七局六九七三にあります。"
/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/record_linkage_clean_dataset/pr_title_crop_6725/1000.png,matched_tk_path_3,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/japan_end_to_end_pipeline/tk-digitization-pipeline/tk1957_correct_order/title_images_v2/tk1957_0253_2_9_1_52301.png,東京都台東区仲御徒町312電下谷(83)3200・3300,金融業及電話不動產賣買,昭和23年1月,350万円,富士(神田),"島秀太郞18,000敬30,000五",勝巳,"媵山市下元祿一三	圃媵山二〇五",織物撚糸莫大小製造,昭和廿三年五月,六千萬圓,福井へ媵山匚富士、東海、住友北陸以上各福井レ,倉敷レイヨン株八〇、〇〇〇株荒井叀崧三〇、四〇〇株松村宇市二六、二二四株,0,勝山兄弟・,勝巳は、昭和23年1月に設立された歴史ある日本の企業です。同社は金融業及電話不動產賣買を提供しています。この会社の資本金は約350万円です。この会社の取引銀行には、富士(神田)が含まれています。さらに、この会社は東京都台東区仲御徒町312電下谷(83)3200・3300にあります。,"勝山兄弟・は、昭和廿三年五月に設立された歴史ある日本の企業です。同社は織物撚糸莫大小製造を提供しています。この会社の資本金は約六千萬圓です。この会社の取引銀行には、福井へ媵山匚富士、東海、住友北陸以上各福井レが含まれています。さらに、この会社は媵山市下元祿一三	圃媵山二〇五にあります。"
/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/record_linkage_clean_dataset/pr_title_crop_6725/1000.png,matched_tk_path_4,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/japan_end_to_end_pipeline/tk-digitization-pipeline/tk1957_correct_order/title_images_v2/tk1957_0032_5_12_0_3023.png,東京都台東区仲御徒町312電下谷(83)3200・3300,金融業及電話不動產賣買,昭和23年1月,350万円,富士(神田),"島秀太郞18,000敬30,000五",勝巳,"千代田區神田岩本町七	電六七局九六一一",既製服卸賣,昭和廿二年三月,五十萬圓へ五千株く,第一、三和へ各神田レ,へ株主數一二、山崎淸,0,勝山商店,勝巳は、昭和23年1月に設立された歴史ある日本の企業です。同社は金融業及電話不動產賣買を提供しています。この会社の資本金は約350万円です。この会社の取引銀行には、富士(神田)が含まれています。さらに、この会社は東京都台東区仲御徒町312電下谷(83)3200・3300にあります。,"勝山商店は、昭和廿二年三月に設立された歴史ある日本の企業です。同社は既製服卸賣を提供しています。この会社の資本金は約五十萬圓へ五千株くです。この会社の取引銀行には、第一、三和へ各神田レが含まれています。さらに、この会社は千代田區神田岩本町七	電六七局九六一一にあります。"
/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/record_linkage_clean_dataset/pr_title_crop_6725/101.png,matched_tk_path_0,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/japan_end_to_end_pipeline/tk-digitization-pipeline/tk1957_correct_order/title_images_v2/tk1957_0239_1_8_1_48729.png,[登記]秋田県能代市御指南町23電能代80(代表)[東京本社]東京都江東区深川木場3一15電深川丨(64)6141(代表)一4電話同上,製材木工機械製作・電氣製鋼・木材・植林・製材・單板・合板・ハ一ドボ一F・積層材製造加工,,5億円(昭和30年2月),,"高萩炭礦1,034,400證券718,502炭礦400,000證券348,760銀行345,050",秋田木材,"能代市御指南町二三	圃能代八三",木材並植林業,明治四十年三月,五億圓,秋田へ本店〇富士三和靑森羽後、勸銀へ以上各秋田く,株主數七、〇九五〇高蔌炭鑛株一、〇三四、四〇〇株野村證劵株五四二、四〇二株日本炭鑛株四〇〇、〇〇〇株角丸證劵株三九三、七六〇株秋田銀行三三五、〇五〇株,1,秋田木材,秋田木材は日本の企業です。同社は製材木工機械製作・電氣製鋼・木材・植林・製材・單板・合板・ハ一ドボ一F・積層材製造加工を提供しています。この会社は[登記]秋田県能代市御指南町23電能代80(代表)[東京本社]東京都江東区深川木場3一15電深川丨(64)6141(代表)一4電話同上にあります。,"秋田木材は、明治四十年三月に設立された歴史ある日本の企業です。同社は木材並植林業を提供しています。この会社の資本金は約五億圓です。この会社の取引銀行には、秋田へ本店〇富士三和靑森羽後、勸銀へ以上各秋田くが含まれています。さらに、この会社は能代市御指南町二三	圃能代八三にあります。"
/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/record_linkage_clean_dataset/pr_title_crop_6725/101.png,matched_tk_path_1,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/japan_end_to_end_pipeline/tk-digitization-pipeline/tk1957_correct_order/title_images_v2/tk1957_0238_5_4_1_48684.png,[登記]秋田県能代市御指南町23電能代80(代表)[東京本社]東京都江東区深川木場3一15電深川丨(64)6141(代表)一4電話同上,製材木工機械製作・電氣製鋼・木材・植林・製材・單板・合板・ハ一ドボ一F・積層材製造加工,,5億円(昭和30年2月),,"高萩炭礦1,034,400證券718,502炭礦400,000證券348,760銀行345,050",秋田木材,"秋田市牛島町六四	電秋田四〇四四",林產物生產加工販賣,昭和廿三年十月,百萬圓二萬株〇,秋田馬口勞町〇秋田信金,寺門金之助一四、〇〇〇株,0,秋田杉木材,秋田木材は日本の企業です。同社は製材木工機械製作・電氣製鋼・木材・植林・製材・單板・合板・ハ一ドボ一F・積層材製造加工を提供しています。この会社は[登記]秋田県能代市御指南町23電能代80(代表)[東京本社]東京都江東区深川木場3一15電深川丨(64)6141(代表)一4電話同上にあります。,"秋田杉木材は、昭和廿三年十月に設立された歴史ある日本の企業です。同社は林產物生產加工販賣を提供しています。この会社の資本金は約百萬圓二萬株〇です。この会社の取引銀行には、秋田馬口勞町〇秋田信金が含まれています。さらに、この会社は秋田市牛島町六四	電秋田四〇四四にあります。"
/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/record_linkage_clean_dataset/pr_title_crop_6725/101.png,matched_tk_path_2,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/japan_end_to_end_pipeline/tk-digitization-pipeline/tk1957_correct_order/title_images_v2/tk1957_0238_5_4_3_48686.png,[登記]秋田県能代市御指南町23電能代80(代表)[東京本社]東京都江東区深川木場3一15電深川丨(64)6141(代表)一4電話同上,製材木工機械製作・電氣製鋼・木材・植林・製材・單板・合板・ハ一ドボ一F・積層材製造加工,,5億円(昭和30年2月),,"高萩炭礦1,034,400證券718,502炭礦400,000證券348,760銀行345,050",秋田木材,"秋田市龜ノ丁外張南新	町一二圃秋田二五〇九",製材並林業,昭和三年五月,二百萬圓,秋田馬口勞町く,六出資額,0,秋田製材,秋田木材は日本の企業です。同社は製材木工機械製作・電氣製鋼・木材・植林・製材・單板・合板・ハ一ドボ一F・積層材製造加工を提供しています。この会社は[登記]秋田県能代市御指南町23電能代80(代表)[東京本社]東京都江東区深川木場3一15電深川丨(64)6141(代表)一4電話同上にあります。,"秋田製材は、昭和三年五月に設立された歴史ある日本の企業です。同社は製材並林業を提供しています。この会社の資本金は約二百萬圓です。この会社の取引銀行には、秋田馬口勞町くが含まれています。さらに、この会社は秋田市龜ノ丁外張南新	町一二圃秋田二五〇九にあります。"
/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/record_linkage_clean_dataset/pr_title_crop_6725/101.png,matched_tk_path_3,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/japan_end_to_end_pipeline/tk-digitization-pipeline/tk1957_correct_order/title_images_v2/tk1957_0238_5_7_0_48696.png,[登記]秋田県能代市御指南町23電能代80(代表)[東京本社]東京都江東区深川木場3一15電深川丨(64)6141(代表)一4電話同上,製材木工機械製作・電氣製鋼・木材・植林・製材・單板・合板・ハ一ドボ一F・積層材製造加工,,5億円(昭和30年2月),,"高萩炭礦1,034,400證券718,502炭礦400,000證券348,760銀行345,050",秋田木材,"秋田市龜ノ丁外張南新	町四",製樽及一般製材業,昭和三年七月,一一出資額,秋田馬口勞町、,,0,秋田樽材一,秋田木材は日本の企業です。同社は製材木工機械製作・電氣製鋼・木材・植林・製材・單板・合板・ハ一ドボ一F・積層材製造加工を提供しています。この会社は[登記]秋田県能代市御指南町23電能代80(代表)[東京本社]東京都江東区深川木場3一15電深川丨(64)6141(代表)一4電話同上にあります。,"秋田樽材一は、昭和三年七月に設立された歴史ある日本の企業です。同社は製樽及一般製材業を提供しています。この会社の資本金は約一一出資額です。この会社の取引銀行には、秋田馬口勞町、が含まれています。さらに、この会社は秋田市龜ノ丁外張南新	町四にあります。"
/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/record_linkage_clean_dataset/pr_title_crop_6725/101.png,matched_tk_path_4,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/yxm/japan_end_to_end_pipeline/tk-digitization-pipeline/tk1957_correct_order/title_images_v2/tk1957_0238_5_5_0_48687.png,[登記]秋田県能代市御指南町23電能代80(代表)[東京本社]東京都江東区深川木場3一15電深川丨(64)6141(代表)一4電話同上,製材木工機械製作・電氣製鋼・木材・植林・製材・單板・合板・ハ一ドボ一F・積層材製造加工,,5億円(昭和30年2月),,"高萩炭礦1,034,400證券718,502炭礦400,000證券348,760銀行345,050",秋田木材,"本莊市出戶町八〇	電本莊一七六",木材製材業,昭和廿六年三月,百五十萬圓三萬株く,,,0,秋田製材所,秋田木材は日本の企業です。同社は製材木工機械製作・電氣製鋼・木材・植林・製材・單板・合板・ハ一ドボ一F・積層材製造加工を提供しています。この会社は[登記]秋田県能代市御指南町23電能代80(代表)[東京本社]東京都江東区深川木場3一15電深川丨(64)6141(代表)一4電話同上にあります。,"秋田製材所は、昭和廿六年三月に設立された日本の企業です。この会社は本莊市出戶町八〇	電本莊一七六にあります。"
