,image_id,headline,byline,text,label
116,4_209219020-marshall-evening-chronicle-Apr-13-1970-p-2.jpg,"FIREWORKS KILL 11
 ",,"HUICHAPAN, Mexico (UPI)
—Fireworks blew up on a bus
Sundav, killing 11 persons and
injuring 38 others.

Police said the intense heat ot
the bus apparently set off the
fireworks, carried aboard by
one of the passengers.
 ",Neither
45,2_8331433-oshkosh-daily-northwestern-May-19-1924-p-4.jpg,"Large Number of Henidentn of State
Are Wiaed for Falling to Ob.
eae Pea Bee EN

 

 
 ",,"Speotera cont iluted tery te
the muntipat court fine fund thie
Morning, fer Munday ae tly ther

Canty Mmetoresele uftcrra appre.
fended among others COS Perese |
Mitanukee 44 miles Bond di Late
road, 3 Hunounek, Antge, 4 mutex,
Fond du Lae road, Food Sehmidt,
Milesuker filles Fond di Lae
road, 1, Touranje, Chicago, 54 miles,
Fond du tae read. bene Mehone.
teen Hay. 42 niles Fond du Lae
road. Cart Stemet Oxbhexh 43 intles,
Fond du Lac road, BL MeCounelt
Cleveland, O, 46 miles, Vand du Lac
real, T Kugmansich Milwaukee 44
miles, Fond dz Lac rot RL, Le
Feet Mbiwaukee, 46 miles, Pond ta
Lactead, EW Burt, Columbur. 0,
Aomitex ond tu Lae vont
One of the offenders was a young
woman Mine Leona Tmmel of Mai
Whe woe pecatleling 4 amen an
wb the Oshkewh Bord dia tae
read and otheoe tn addigen ta the
forraeing were \ Koch, Milwaukee,
az ines Fomt dit Lae road
Mathivon, Milwaukee 4) miles, Fond

 

  

   

 

 

   

     
 

 

 

   

 
      

     

 

 

      
 ",Neither
16,10_47538904-star-news-Apr-01-1968-p-30.jpg,"‘Mourning’ Riot
 ",,"PANAMA Clit {Url} m= tide
tional Guardsmen used: tear gan
Saturday night to disband an
anti-government demonstration
by “mourning women’ in the
town of Chitre, The disturbance
erupted after the women left
mass in a nearby cathedral. *
 ",Protest
463,3_246865002-winchester-evening-star-Sep-27-1976-p-1.jpg,"In Retribution for Raid

Three Guerrillas Hanged
 ",,"DAMASCUS, Syria (AP) — The Syrian
government hanged three pro-Palestinian
guerrillas at dawn today in swift
retribution for a bloody raid on a
Damascus hotel just 24 hours earlier.

A fourth guerrilla and four te
were killed and 34 hostages were
in a seven-hour battle for the Semiramis
Hotel in the most daring Palestinian at-

tack yet in Syria.
The three surviving terrorists were
hanged in a square facing the

luxury hotel. Their bodies, clad only in
white tunics, were left dangling in nooses
for six hours as thousands of Syrians
pressed around the gallows and climbed to
balconies and rooftops to see the victims.

The guerrillas called themselves the
“Black June’ group and apparently were
protesting Syria's military intervention
that began last June in the Lebanese civil
war.

Before they were executed, the three
went on Syrian state television and said
they belonged to Al Fatah, the biggest
Palestinian guerrilla group. They also said
they had been trained in Iraq, which has
supported radical Arab organizations and
has denounced the Syrian role in Lebanon.

But in Beirut, a spokesman for the
Palestine Liberation Organization (PLO),
the Palestinian umbrella group headed by
Yasir Arafat, denied that any PLO
members were responsible. Arafat also
heads Al Fatah, which is considered to be
less radical than some Palestinian
guerrilla units.
 A Syrian government statement said the
four hostages who died Sunday were killed
by the terrorists. Three of the slain
hostages were women, and witnesses said
all were Arabs. Three Americans were
reported in the hotel at the time and one,
 National Broadcasting Corp. assistant
producer Robert Castenbach, was taken
hostage but was unharmed, the U.S.
Embassy said.

According to an account pieced together
from witnesses and security officers, the
 four-member team pulled up to the hotel at
about 5 a.m. Sunday in a dark blue car
with Lebanese license plates. They asked
for a room, were told none was available,
left and returned with submachine guns
and grenades.

Security officers said the comandos
moved from floor to floor of the five-story
hotel rousing guests from their sleep and
taking them captive. Someone called
police and the hotel was immediately
surrounded, witnesses said.

Security forces cut off communications
to the hotel and the guerrillas, holding the
top floor, opened fire and hurled grenades
down on the Syrians.

Military police and plain-clothes in-
telligence agents returned the fire and
besieged the building for about four hours
until Syrian Premier Gen. Abdul Rahman
Khleifawi and Defense Minister Mustafa
Tlas, who were at the scene, ordered the
assault.

Some troops dashed into the lobby and
worked their way upstairs while others
clambered up fire-truck ladders and en-
tered through upper-floor windows, firing
automatic weapons and tear-gas
grenades. After a furious three-hour gun
battle, they subdued the terrorists.

m. _ not clear when the hostages were
 ",Neither
357,6_259405913-arcadia-tribune-Mar-10-1977-p-2.jpg,"New chamber chief looks
for quality, not quantity
 ",,"“You find time for the things you
want to do. Doing the other stuff
shows character.”

That’s how Charles Neuberg, who
is in the middle of the busy tax
season, rationalizes the additional
demands on his time as the incoming
president of the Arcadia Chamber of
Commerce.

Each new chamber president es-
tablishes his own priorities. With the
outgoing president, Tom Simmers, it
was increasing chamber
membership.

_Neuberg believes membership,
which now hovers around 950, has
pretty well stabilized. There’s
always some turnover, but he sées no
major growth now that Fashion Park
is completed.

What he is looking at is quality of
participation because ‘‘participation
is what makes it all work.”’ For in-
stance, he wants to enlarge the
Public Relations Committee from a
dozen members to 25 or 30.

Members of this committee
provide follow-up to the Am-
bassadors who bring new members
into the chamber. They act as a
sounding board to members who
may not be particularly active,
listening to complaints, helping to
solve little problems before they
become big.

Neuberg says he hears complaints
from chamber members in other
communities that they pay their dues
but derive no benefits. He doesn’t
 want that to happen in Arcadia.
The major benefit of chamber
membership, he says, is the
availability of group effort to im-
prove situations or correct
problems. ‘‘Each member is impor-
tant but we can be more effective
working together. If we can do this’
 we will have accomplished a lot.”

Neuberg and his wife Audrey have
been residents of Arcadia since 1957
although he didn’t open his business
and tax consulting firm here until
1963.

He’s gone through the chairs on the
chamber board, serving as an Am-
bassador and then on the Legislative
Committee, of which he is currently
chairman, as well as being
president-elect.

Although this is income tax time,
he helps people with tax planning
during the other months and with
growth problems. He helps them set
up books but any bookkeeping that
needs to be done he leaves to his
wife, who works closely with him.

Born in Brooklyn, he attended
school there. During World War II he
served with the U.S. Army in the
Pacific, returning after the war to
Long Island.

There he worked with Benjamin
Moore & Co., paint manufacturers,
coming to California as controller of
the firm’s plant here.

The Neubergs have a married
daughtger, Leslie White, who lives in
Hermosa Beach, and a grand-
daughter, Brooke, 7.

When he can find the time he en-
joys golf, photography and dancing.
He’s a member of the Arcadia
Kiwanis Club, the Presbyterian
Church, Arcadia Tournament of
Roses Association and the Arcadia
Beautiful Commission.
 ",Neither
3,0_15940984-clearfield-progress-Sep-30-1967-p-1.jpg,"Donald J. Crain,
Businessman At.
Philipsburg, Dies
 ",,"PHILIPSBURG — Donald J.
Crain, 47, president of the Crain
Trucking Co, and of Shain In-
dustries, Inc., died at 7:30 a.m.
loday, Sept, 30, in the Cleve-
land Clinic where he under-

. went heart surgery yesterday.

He seemed io respond well
follawing the operation and his
condition was regarded as good
last night.

The prominent businessman
saw action as a pilot during
World War II. He was a mem-
ber of the Reliance Fire Com-
pany, the Elks’ Lodge, the Ma-
sonic Lodge, the Williamsport
Consistory and the Jaffa
Shrine.

A son of Mrs, James (Verna)
Wilson and the late James

 

Please Turn to Page 10. Col. 6
 ",Neither
218,1_46712315-charleston-daily-mail-Nov-15-1977-p-3.jpg,"Fight Fire
 ",,"LONDON (AP) — Dozens of Lon-
doa firemen abandoned their day-old
national strike for an hour early today
to help inexperienced army firefigh-
ters put out a blaze in a hospital and
rescue scores of helpless patients from
smoke-filled wards.

There were no casualties, and the
firemen went back to the picket lines
aiter the fire was under control.
 ",Protest
406,5_340760473-wolcott-enterprise-Nov-16-1967-p-8.jpg,"CHURCH NEWS
 ",,"Meadow Lake
Church School 10:0 a m
Worship 1 Oa m
Interim Minister, Robert Barnes

Apestetic Christian Church.
Morning Worship 10;00 a m.
Sunday School _ Wop m
Afternoon Worship 2Mpm

Mt. Zion Baptiet Chureh
Worship . $Da m
Church School | WM a m

Allan Williams Pastor —

Palestine Christian Church
Church School 9wWa m.
Worship obDa m

Silas Mullins, Pastor
 ",Neither
60,4_155979518-daily-court-review-Jan-27-1930-p-1.jpg,"DEEDS OF TRUST
 ",,"L M Sanders to Phillips Tharp, trus-
tee for Mrs Emma Beneke, 1 acre out
of W P Morton survey, to secure $1000
Jan 24, 1930.

C W Dysert to Second Nat] Bank,
trustee for holder of notes, lot 9, part
of lot 8, blk 3 Southampton Place addi,
to secure $5556.50, Jan 24 1930.

C W Dysert to L B Wainscott, trus-
tee for C C Rouse, lot 9 part of lot 8,
blk 3, Southampton Place addi, to se-
cure $1700, Jan 24, 1930.

Nellie E Rogers to econd Natl Bank
trustee for holder of notes, all of Park-
dale addi sub of George L Bellows sur-
vey lots 9 10 Il 12 13 1-2 of lots 14 15
16 17 18, Dairy townsite, 37.28 acres out
of Geo L Bellows survey, to secure $18,-
000, Jan 22 1930.

H M McLeod to T P Priddie Jr, trus-
tee for Federal Trust Co, lots 4, 5, blk
89, lots 41 44, 45, blk 36 Magnolia Park
addi, to secure $2200, Jam 24, 1930.

J B Townsend to Federal Trust Co
trustee for holder of tot 18, blk 27
‘Sonthamnton. Place addi, to secur
$2750, Jan 21, 1930.

Roy B Nichols to Ira P Jones, Jr
trustee for Mrs Lina Detering lots 5, 6
Maxcy & Plunkett addi to secure $2985
Jan 14, 1930. ‘*

Roy B Nichols to W P Neblett, trus-

tee for J Edgar Lafferty lot 8, blk 1,
Nichols-Gregg addi, lot 13, blk 3, Roy
B Nichols addi, to secure $1000, Jan 18,
1930.
' Marie Frances Keller Boyle to W P
Hamblen, trustee for Henry Roth, lots
33, 34, 1-2 of lots 32, blk 74, Houston
Hts, to secure $2500, Jam 21 1930.

' Herman Bortz to C G Daugherty,
trustee for Frank J Mendel lot 8, bik
3 Ridgemont addi, to secure $160, Jan
24 1930,

E J German to C H Chernosky, trus-
tee for Liberty Loan & Bldg Assn, lots
3, 4.5, blk 77, Ryon addi, to secure $2400,
Dec 24, 1929.
| John H Macke to L E Blankenbecker,
trustee for Harris County Bldg & Loan
Assn, a tract out of Jas ingleton sur-
vey, to secure $3000, Jan 10, 1930.

John Kroneberger to Homer E Hen-

derson, trustee for Second Natl Bank,
executor of Hudson P Ellis estate, 1-2
of lots 3 4, Shearn street, addi, to se-
cure $2900, Jan 23, 1930.
' Frank A Martinier to Guardian Trust
Co, trustee for holder of notes, parts
of lot 5 blk 393, SSBB, to secure 12
notes, each $250, Jan 4, 1930.

_ OJ Bailey to-J W Riggs, trustee for
Goose Creek tate Bank, 1-2 of lot 5, 6.
blk 3, Perkins Wright addi 1 acre of
IW Wright addi lots 19, 20, blk 6, Gec
Wright addi, to secure $1250, Jan 11
1930.

. COW Webb to R L Wright, trustee

,for L E Norton, lot 3, blk 17, Norhil

addi, to secure $2500, Jan 20, 1930.

C Curtis Munz to H J Pickrel, trus-
tee for Real Estate Inv Co, lot 314, Rea:
‘Estate Inv Co addi to secure $1850, Jar
10, 1980.

M E Roberts to E T Arnett, trustec
for Goose Creek State Bank, lots 12, 13
blk 9, Jones addi to Goose Creek, to se-
j cure ""$1000, Jan 6, 1930.
| Starat B Moore to J M Jackson, trus:
ee for holder of notes, part of blk 12

| Blodgett addi, to secure $4750, Nov 8
'} 1929.

EW Tumer to A H Fulbright, trus.
‘tee for Arthur B Cohn, lots 6, 7, 1+
lof lots 8 and 12, blk 4 of Holman 82, tx

)}secure $5000, Jan 25, 1930.

Albert R Young to Minor Stewart
 ",Neither
110,19_244546671-waco-citizen-Dec-13-1956-p-4.jpg,"WACO SAILORS STATIONED
IN ALASKA NAVAL STATION
 ",,"ADAK, Alaska (FHNTC)—Kar!
L. Reddell, seaman apprentice,
USN, son of Mr. and Mrs. Ernest
E. Reddell of Route 5, Box 229F,
and husband of the former Miss
Elsie M. Swinscoe of Route 1,
Box 132, all of Waco, is serving
at the U. S. Naval Station, Adak,
Alaska.

“The station, located 1,000 miles
‘from the Alaskan mainland, pro-
vides support for all units of the
Pacific Fleet. ,
 ",Neither
