article,label
"NORTH CENTRAL AND WEST TEXAS:
Partly cloudy Sundsy and Monday; with
widely scattered thundershowers.

FAST TEXAS: Partly cloudy Sunday
with widely scattered thundershowers Mom
day and in south portion Sunday. Gentle
to moderate east and southeast winds om
the coast.

SOUTH CENTRAL TEXAS: Partly
cloudy Sumday and Monday, with
scattered thundershowerx. Gentle to m
erate winds on the coast.
 </s>",1
"UNITED NATIONS, N.Y.
(UP)— Russia called today
for all powers to give up
foreign bases and demanded:
agreement on reduction of.
armed forees without wait-
ing for a disarmament treaty.
| Soviet Foreign Minister Vyache-
slay MM. Malotey Cold the Uniled
 Natanits General Asseinbhy the
Kremlln is “engaged in studying""
President Lisenhower's arms in-
sspection plan. But lie gave no hint
las to whether the Russians would
uceepl iL.

Me made no reference to Saviet
‘Promier Nikolai Bulganin'’s Ietlers
to the Hig ‘Phree heads of state,
which presimably concern — dis-
Inent.

 

 

Boasts of ‘Deeds’

Moloatoy went dawu Ute Hine for
support of the overall cdisarina-
ment proposals presented by Mes-
cow last May 10 and rejeeled by
the West because thoy lack ade-
Iquate provisions for inspection aud
cantral.

Me boasted the Suviet Unign had
abandoned iis bases at Port Artur
in China, and at Porkkalta, In Fln-
{land, |
( “The Soviet government,’ lic
‘ aid, “has proceeded from words
ja deeds. ‘This glyves ts reason to
eal) upon the governments of olher
Jpawers, and particularly of those
awhich mudutain numerons biases on
(foreign territories, to give up thelr
bases.
| “Such a caurse would, undouht-
edly, best meet the need to eall
loff the armaments race, build up
‘confidence among nations and end
Jie cold war.’

In his 5,00@-word policy stale
Jwment, Molutoy also made these
‘|grolnts:

1, Presented « resolution askhig
the General Assembly to conside:
lnat only the Eisenhawer plan anc
{the Soviet proposals, but Britain’
-|demand for mutual inspection o
‘forces along Kurepe's Iven Curtati
.jand Franee’s suggestion for dis

armament Chrough “budgelar:

vontrot,”’
| 2, Said Secrelary of Slate Joh
\- Foster..Dulles' slatement yeste1

Saf.
4 day ‘thal ““limitadion of arma
1. | bs virinally unattainable,’ throw
sdoubt on the work of the disarme
ment commission set up by th
{General Assembly.”
p| ‘The United States iinmediate!.
[issued a statement accusing Mole
tov of “Inexcusably’’ n¥squotin
-s({Dulles. What Dulles actually sai
was: “Long experience makes $

Apparent hat when there is a sens

of insecurity and when arnys cor

sequently scan necded, lHinitatio
of armament is virtually unattair
able. Heductions, of — armamen
occur when fear is dissipated an
when arms seem less needed.)

3. Hinted Hussia still hopes
create a neutralized Germany.

4. Called for return of Fartmos
te Hed China and demanded a sei
‘for the Peiptng regime In the U.d
5. Expressed hopes Qiat curred
talks in Geneva ""will play a pos
tive part in normalizing relation
netween the United Siates of Ate:
ea oand the Chinese Peaple’s He

pivblic.””
at- 6G. Said the Soviet delezatio
sowould support simultaneous acini
lelsiun to the UN. ef 16 states th
<djhave applied for membership. ~
M-| (Twenty-one countries have a]
edi plied for membership. [mimediatel
hlafler his speech, Molotov tafd tb
'United Press fe did not inclu
|sapan, South Kerca, Nori Kore
South Viet Narn or North Viet Nai
st",0
"Kansas: Partly cloudy and mild Thursday
might and Friday; lows Thursday night gen-
erally in the 30s; highs Friday 60s north.
wast to lower 60s southwest.

-lewa: Considerable cloudiness Thursday
Night and Friday; warmer northwest and ex-
treme north Thursday night and south Fri-
‘day: lows Thursday night in the 20s; high:
“Friday 35-42 northeast to around 50 ex.
teme southwest.
 </s>",1
"NORTH CENTRAL TEXAS: Partly
cloudy and rather cold through
‘Thuraday night. Rising temperatures

Friday.
WEST TEXAS: Clonly to partly
South ""Plains through Thursday “nih
cloudy and a little warmer
inh ccolsioaal rade lower Prous Val
OKLAHOMA: Fair
Cokler extreme
MESTENDED
Jan. 16 for West Texes:

tures S53) degrees below normal.
Normal minimum 20590. ia eorth and
30-44 in south.

Wieblta Falls

Weather data in Wichita Falls for
for the 24 hours ending at 3:30 pam.

 

Barometric pressure at 4 p.m.
Le aor

rhe peecateg te date: 165—
we 195¢—~.97.
 </s>",1
"     

ganized prayers of drouth-
stricken Texans and Oklahomans
Were answered today with million-
dollar ruins.

_ The downpours were laced with
winds and “stdims Which were
blamed ‘tor at léast six deaths in
Texas alone. But théy seemed like
ar answer from heaven ta’ dust:
plagued farmers.

Meanwhile a May | cold wave
threatened. the northern Midwest
with frost and moved in on $0-
degree temperatures in the Soutit-
east. :
| ‘The townspeople of Lampasas,
Tex,, and Hobart, Okla... bag ar-
ganized.“prayers*for raiv’. and
mags denionstrations of faith that
Yains wauld come in hopes of end-
ling weeks ‘of crop-haking drouth.

Prayers Answered

Thelr prayers were answered.

The reins came 19° Lampasas
‘Tuesday. afler radio station KCYL
prganized its ‘prayers: for. rain’
day. All regular commercial pro-
grama had been cancelled while
munisters_and laymen took turns

(Continued on’ Pare Two)
 </s>",1
"partly cloudy Sunday and Monday with
scattered thundershowers; no important

temperature changes.

Ww — Fair to partly cloudy
Sunday and M with scattered thun-
dershowers ;

no temperature
changes; gentle to moderate northeasterly
winas on.

TEMPERATURES
 </s>",1
"= Ue ewes Ure: Ul elUlee
swath across Indiana from north-
west to southeast and left a
treacherous coating of ice on

streets and sidewalks today as
temperatures plunged to wintry
depths.

The five-day outlook was for
below normal temperatures and
more snow through the rest of
the week.

The storm, buffeted by winds
averaging 20 miles an hour and
gusts up to 30, turned highways
and streets into hazards for
motorists and pedestrians.

Depth of the snow was not
great. South Bend had four
‘inches on the ground, much of
it from previous falls which
never melted, and Indianapolis
had an inch.

Mercury Touches 8

But the blanket of white stuck
as temperatures fell below freez-
ing. Roads were slippery, over

‘a diagonal strip starting at the
northwest corner and going
southeast as far as U.S. 50 be-
tween Vincennes and Cincinnati.

Temperatures fell to eight
above zero at Lafayette during
the night. Indianapolis had 16
before dawn but y 9 a.m, the
mercury had fallen to 10.

Colder with snow flurries
were on tap for the entire state
today and tonight with lows to-
night ranging from 10 to 16
and highs Wednesday from 22
to 28. The outlook for Thursday
was “very cold” with snow
flurries,

3-6 Below Normal

The five-day outlook for the
period Wednesday through Sun-
day said:

“Temperatures will average 3
to 6 degrees below normal highs
of 34 to 45 and normal lows of
15 to 26. Cold Wednesday and
Thursday, somewhat warmer
Friday and Sunday. Precipitation
will average one-fourth to one-
half inches, including snow
north and central Wedndsday
and Wednesday night and snow
or rain about Friday.”
 </s>",1
"Snow and cool weather brouyht
a touch of winter to scclions of
the Rockies and norlhern border
stales today.

There was snow ranging
from 1 to 7 inches in parts of
Monlana, Wyoming, Idaho
and = Utah. Temperatures
were far below freezing in
some areas in the West and
also in ‘the north central
states.

At Cut Bank, in northwestem
Montana, the snowlal! meusured
6 inches and it was 27 above.
Heaviest fal} was 7 inches al
Idaho Falls, 1daho,

The coal Canadian air moved
into (ne Great Lakes region and
New England and temperatures
dropped 10 io 20 degrees reaching
near or below freezing in same
areas. It was 26 at Grand Ma-
rais, Mich, Temperatures were in
fhe 30s and lower over the St.
Lawrente River Valley, the nor-
ihern Great Lakes and the high-
er clevations in the ‘northem
Rockies..

Stormy weaibec was repiotted
in the southland from Texas td
South Carolina, with thunder-
storms over wide areas, Six’ tor-
nadoes skipped across rural ar-
ens in the South Plains of Texas
yesterday but damage was light
and no one was injured.

SOME WET SPOTS

Nearly 2 inches of rain was re-
ported in Houston, Tex., and more
than 144 inches at Chadron, Neb.

Other wet spols today were in
New England, which reported
light showers. Rain fell In areas
from weslern Washington and
Oregon to ihe western sections of
the Dakotas and Nebraska.
 </s>",1
"SOUTHERN LOWER, MICHI-
GAN: Mostly cloudy with occa-
sional showers Friday. night be-
coming partly cloudy Saturday.
Continued ‘cool. Easterly winds.
Low Friday night | 68-74,. high
Saturday 65-70. ‘

OUTLOOK.for Sunday: Partly
cloudy and cool.

The sun sets today. at 6:28 p. Mm.
and rises Saturday at 6:21 a.m.

Temperature Readings:
Low 54. 1 p.m. 60. High 89
Barometer Reading:

29.4; drop of.1 inches.

 
 </s>",1
"WWELeTAN AEN LU }— Re
publican hopes of regaming con
trol of the Senate were joltec
today by news from Ohio that
offset a recent jolt Democratic
hopes received from Nevada.

The bad news for the Republi-
cans came in Wednesday night’s
announcement that Democratic
Gov. Frank J. Lausche of Ohio
will mun next year for the Sen-
ate seat now held by ‘Sen.
George H. Bender.

Although party reguiars view

, Lausche as a maverick, he has
been the greatest Democratic
vote getter in Ohio in many
years. -

He easily won re-election to
the governorship in 1952 while
President TEisenhower carried
the state by 500.000. Bender
won his Senate seat by a mar-
gin of about 6.000 votes in 1954
to serve the final two years of
the term of the late Sen. Rob-
ert A. Taft.

Despite Bender's victory. the
Democrats in 1954 recaptured
control of the Senate by the
narrow margin of 49 to 47.

Although control of Congress
usually goes to the party win-
ning the presidency, the GOP
can act on no such assumption
in 1956. Most of the Democratic
Seats at stake next year are in
“safe” Democratic states. The
Republicans have proportionate-
ly more seats at stake im the
closely-divided states than the
Demecrats.

The Democrats suffered a,
Similar blow recently when Sen. |
Alan Bible (D-Nev.) announced
he would not seek re-election
next yeam He was considered a
strong candidate in a state
where the GOP has shown in-|
creased strength in the lest;
decade.

Bender responded io Lausche's;
announcement by citing his ree~;
ord of support for the Eisen-
hower administration. He said!
he would campaign in every
Ohio County “io retain for
President Eisenhower and his
program the Senate seat which
may be crucial to the success of}
America in the years directiy |
before us.”

Referring to Lausche’s repu-}
tation as an independent, Bend-|
er said there is “no seat in the
middie of the aisle in the Sen-
ate... vou are either a Re-
 </s>",0
