ProductID,Libellé du Produit,Catégorie,Prix
101,Ordinateur portable performant,Électronique,1400
102,Smartphone avec prise en charge de l'IA,Électronique,950
103,Logiciel CRM pour entreprises,Logiciel,1800
104,Plateforme d'analyse de données pour gros ensembles de données,Analyse de données,1700
105,Gestion de documents pour les entreprises,Logiciel,2000
106,Caméra de sécurité à haute résolution,Électronique,1200
107,Imprimante tout-en-un,Électronique,600
108,Casque audio sans fil,Électronique,300
109,Système de divertissement à domicile,Électronique,2500
110,Robot aspirateur intelligent,Électronique,800
